DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--11-44-11,5,0.2429325,0.6083349,-0.1598113,-0.2012042,0.1366496,0.06948712,0.1892591,0.6493565,0.1201298,-0.3151092,0.5954001,0.6142192,-0.4110228,0.1544956,0.9445244,0.1526108,-0.2464037,-0.2206261,0.90662,-0.3176667,-0.1686779,0.408903,0.1591491,-0.4466588,-0.4813564,0.02460107,0.2340251,0.3577102,0.240061,0.471686,0.2058516,0.3811068,0.08190705,-0.06792925,0.5290833,0.1610702,0.4086957,0.4247915,-0.122543,1
2017-16-5--11-44-11,5,0.399926,0.4786928,-0.3002122,-0.1037496,0.03042018,0.07975373,0.2119355,0.6424714,0.08661003,-0.3511327,0.7656602,0.4596003,-0.2814924,0.14554,0.9606305,0.03255434,-0.2344087,-0.2202891,0.8934224,-0.340865,-0.1925624,0.4087086,0.1660722,-0.4477048,-0.4825824,0.004277676,0.2251046,0.3794664,0.2554933,0.477486,0.1996717,0.3542804,0.06764583,0.0138625,0.610723,0.1543688,0.3158855,0.4503438,-0.04194063,1
2017-16-5--11-44-11,5,0.4310134,0.2465981,-0.3369802,0.04328657,-0.001942277,0.03415682,0.3056915,0.6392022,0.01560733,-0.3675523,0.7765355,0.279021,-0.4290049,0.143242,0.9771638,-0.01155577,-0.1565221,-0.1856156,0.884824,-0.3590347,-0.2317919,0.4377139,0.1921126,-0.4706359,-0.484702,0.005639821,0.216304,0.449414,0.3056432,0.4722712,0.1869226,0.2949935,0.02616248,0.1110653,0.6643873,0.1669784,0.2401532,0.4170746,-0.05502844,1
2017-16-5--11-44-12,5,0.3926221,0.1302636,-0.2892623,0.1521275,0.03130209,-0.0333355,0.4297359,0.6220671,-0.09061006,-0.2806786,0.7023705,0.2845738,-0.5889933,0.1593054,0.9723043,-0.006366658,-0.1708963,-0.1254065,0.8519406,-0.4183462,-0.2888892,0.4660423,0.2151375,-0.4756141,-0.4854848,-0.02652636,0.1712164,0.5595622,0.3807913,0.4723966,0.1797096,0.2073807,-0.03051385,0.2265368,0.7036056,0.2003826,0.1596427,0.3439278,-0.1325437,1
2017-16-5--11-44-12,5,0.355481,0.08994699,-0.2584037,0.1574692,0.02902603,-0.05557968,0.4991385,0.6056403,-0.1655495,0.2654162,-0.5769972,-0.3465856,0.6902948,0.2409273,0.9374067,-0.08204886,-0.2376779,-0.09372384,0.80928,-0.4662222,-0.3448457,0.4941081,0.2226726,-0.4773493,-0.4627993,-0.03114331,0.1297272,0.6569408,0.4281565,0.4794083,0.1814224,0.1209817,-0.05760944,0.2863562,0.6886948,0.2329886,0.1069245,0.2830193,-0.2173452,1
2017-16-5--11-44-12,5,0.2943633,0.1012415,-0.2480698,0.144984,-0.0175333,-0.08160227,0.5265203,0.6081933,-0.189699,0.279164,-0.4173276,-0.4821005,0.7179723,0.2740448,0.9131818,-0.2271585,-0.1984878,-0.09332894,0.7931352,-0.4643127,-0.3829362,0.5163562,0.279336,-0.4803052,-0.4625188,-0.03445393,0.1035359,0.7156672,0.4567647,0.4769249,0.1846966,0.06901443,-0.07705888,0.2961828,0.6191735,0.2206098,0.1138381,0.1935561,-0.3177069,1
2017-16-5--11-44-12,5,0.2680222,0.1147082,-0.3142076,0.2140076,0.01590025,-0.1139576,0.5261564,0.6136807,-0.2075397,0.2853679,-0.4460194,-0.4870413,0.6945667,0.30738,0.9310413,-0.1677436,-0.1026733,-0.1069214,0.7776054,-0.4443711,-0.4317778,0.5281075,0.2890368,-0.4842286,-0.4585085,-0.03946364,0.1166828,0.7465755,0.4685924,0.4713795,0.1836963,0.02163559,-0.095976,0.3205152,0.5758774,0.2310102,0.1260097,0.1912185,-0.3706805,1
2017-16-5--11-44-12,5,0.2867207,0.08488488,-0.3254662,0.2630096,0.06709635,-0.1400839,0.5327845,0.6134653,-0.2311646,0.2662039,-0.4567918,-0.449971,0.7197242,0.3393738,0.9321501,-0.1198854,-0.03936097,-0.09341676,0.7642573,-0.4463333,-0.4560381,0.5175204,0.2937867,-0.4848654,-0.4558575,-0.05430502,0.1109672,0.7590155,0.4675132,0.4684913,0.1872048,-0.00939858,-0.1134578,0.3467197,0.5846524,0.2539806,0.1135143,0.2110264,-0.393378,1
2017-16-5--11-44-13,5,0.3120412,0.05966449,-0.3281234,0.3122478,0.1111357,-0.1701901,0.5398256,0.6079701,-0.2588409,0.2374983,-0.4988607,-0.4120473,0.7245342,0.3488595,0.9328511,-0.08245227,0.0358813,-0.07657915,0.7582827,-0.4605823,-0.4549803,0.5117043,0.2939159,-0.4850127,-0.4527549,-0.0637635,0.1078017,0.7589473,0.4674353,0.4698498,0.1884478,-0.02744937,-0.1300273,0.3499034,0.6056648,0.2848797,0.09020317,0.2152785,-0.3821831,1
2017-16-5--11-44-13,5,0.3368079,0.02655923,-0.3297758,0.3485826,0.1520445,-0.2010084,0.5499088,0.599022,-0.2771525,0.2362813,-0.5121061,-0.3830628,0.731561,0.3501985,0.9307875,-0.04513281,0.09465066,-0.06067675,0.7559142,-0.4779555,-0.4432501,0.5136322,0.2899134,-0.4854733,-0.4503843,-0.06275696,0.1044426,0.7585669,0.4689916,0.4698181,0.1877152,-0.03661966,-0.1362608,0.3419932,0.6307597,0.3106292,0.0722847,0.2084712,-0.3740152,1
2017-16-5--11-44-13,5,0.3582866,0.0002636909,-0.3351797,0.3702747,0.2035319,-0.2301877,0.5580848,0.5964605,-0.2857799,0.2378792,-0.5368212,-0.3536337,0.7281344,0.3428381,0.9324604,0.01166227,0.1133299,-0.04581369,0.7608126,-0.4804185,-0.4338933,0.5130588,0.2900561,-0.4861323,-0.4525478,-0.0633269,0.1046009,0.756711,0.4673745,0.4674096,0.1873703,-0.03784668,-0.139981,0.3309719,0.6498349,0.3225026,0.05998862,0.1997851,-0.3629236,1
2017-16-5--11-44-13,5,0.380006,-0.03027368,-0.3208239,0.3649383,0.2857382,-0.2654543,0.5612596,0.5943902,-0.2916789,0.2398363,-0.5275511,-0.3282671,0.7459283,0.3623832,0.9207994,0.07884396,0.1207915,-0.03915075,0.7617036,-0.4830682,-0.4300233,0.5145242,0.2916408,-0.4861251,-0.4515791,-0.06012195,0.1071397,0.756684,0.4688391,0.4665724,0.1873623,-0.03996277,-0.1410071,0.3045887,0.6644596,0.3405957,0.05068958,0.1841196,-0.3561581,1
